Grupo,Término negativo,Concordancia,Motivo
GENERALES,posicionamientoweb,Amplia,"Spam de agencias SEO: 182 impresiones y MXN 55 en clics de bots o competencia."
GENERALES,posicionamientowebeconomico,Amplia,"Mismo caso: 8 clics pagados sin valor."
GENERALES,advertisement,Exacta,"79 impresiones en inglés, cero clics. Fuera de mercado."
GENERALES,gratis,Amplia,"Nunca compra. Filtra desde el inicio."
GENERALES,empleo,Amplia,"Busca trabajo, no proveedor."
GENERALES,vacante,Amplia,"Busca trabajo, no proveedor."
GENERALES,sueldo,Amplia,"Busca trabajo, no proveedor."
GENERALES,bolsa de trabajo,Amplia,"Busca trabajo, no proveedor."
GENERALES,segunda mano,Amplia,"Busca reventa."
GENERALES,usado,Amplia,"Busca reventa."
FRENTE PUBLICIDAD,copias,Amplia,"Busca fotocopias a peso. Ni PyME ni B2B."
FRENTE PUBLICIDAD,como hacer,Amplia,"Intención DIY: MXN 122 gastados en 'cómo hacer un logo'."
FRENTE PUBLICIDAD,como crear,Amplia,"Intención DIY."
FRENTE PUBLICIDAD,creador de,Amplia,"Intención DIY."
FRENTE PUBLICIDAD,plantilla,Amplia,"Busca archivo descargable."
FRENTE PUBLICIDAD,interiores,Amplia,"Se disparó por 'decoración de interiores'. No está en tu catálogo."
FRENTE PUBLICIDAD,sdi,Amplia,"Competencia local por nombre: 96 impresiones y MXN 55 gastados solo en SDI."
FRENTE PUBLICIDAD,copitec,Amplia,"Competencia local por nombre."
FRENTE PUBLICIDAD,copy tec,Amplia,"Competencia local por nombre."
FRENTE PUBLICIDAD,krearte,Amplia,"Competencia local por nombre."
FRENTE PUBLICIDAD,digicenter,Amplia,"Competencia local por nombre."
FRENTE PUBLICIDAD,publiexpress,Amplia,"Competencia local por nombre."
FRENTE PUBLICIDAD,qprint,Amplia,"Competencia local por nombre."
FRENTE PUBLICIDAD,jilotepec,Amplia,"Fuera de tu radio de cobertura actual."
FRENTE DIGITAL,wordpress,Amplia,"Busca hacerlo solo en una plataforma, no contratarte."
FRENTE DIGITAL,wix,Amplia,"Busca hacerlo solo en una plataforma, no contratarte."
FRENTE DIGITAL,shopify,Amplia,"Busca hacerlo solo en una plataforma, no contratarte."
FRENTE DIGITAL,godaddy,Amplia,"Busca hacerlo solo en una plataforma, no contratarte."
FRENTE DIGITAL,plantillas de página web,Amplia,"Busca descargar un tema, no un servicio."
FRENTE DIGITAL,template,Amplia,"Busca descargar un tema, no un servicio."
FRENTE DIGITAL,hosting,Amplia,"Busca infraestructura barata, no desarrollo."
FRENTE DIGITAL,dominio,Amplia,"Busca infraestructura barata, no desarrollo."
FRENTE DIGITAL,servidor,Amplia,"Busca infraestructura barata, no desarrollo."
FRENTE DIGITAL,curso gratis,Amplia,"Intención de aprender, no de contratar. Es la fuga #1 en keywords de IA."
FRENTE DIGITAL,tutorial,Amplia,"Intención de aprender, no de contratar."
FRENTE DIGITAL,aprender,Amplia,"Intención de aprender, no de contratar."
FRENTE DIGITAL,chatgpt,Amplia,"Busca la herramienta, no un implementador."
FRENTE DIGITAL,gemini,Amplia,"Busca la herramienta, no un implementador."
FRENTE DIGITAL,copilot,Amplia,"Busca la herramienta, no un implementador."
FRENTE DIGITAL,api,Amplia,"Perfil técnico buscando recursos, no comprador."
FRENTE DIGITAL,documentación,Amplia,"Perfil técnico buscando recursos, no comprador."
FRENTE DIGITAL,github,Amplia,"Perfil técnico buscando recursos, no comprador."
FRENTE DIGITAL,empleo desarrollador,Amplia,"Busca trabajo o tarifa, no proveedor."
FRENTE DIGITAL,freelance,Amplia,"Busca trabajo o tarifa, no proveedor."
FRENTE DIGITAL,cuánto gana,Amplia,"Busca trabajo o tarifa, no proveedor."
FRENTE DIGITAL,universidad,Amplia,"Busca educación formal, no capacitación empresarial."
FRENTE DIGITAL,diplomado,Amplia,"Busca educación formal, no capacitación empresarial."
FRENTE DIGITAL,certificación oficial,Amplia,"Busca educación formal, no capacitación empresarial."
FRENTE DIGITAL,días sin accidentes,Frase,"OBLIGATORIA en la campaña de tableros digitales: si no, canibaliza la de tableros físicos."
FRENTE DIGITAL,open source,Amplia,"Busca alternativa gratuita."
FRENTE DIGITAL,código abierto,Amplia,"Busca alternativa gratuita."
FRENTE DIGITAL,descargar,Amplia,"Busca alternativa gratuita."
